timestamp_iso,timestamp_bkk,category,candidate,rank,vote_percentage
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-series,เขมจิราต้องรอด,4,1.4
2026-09-09T09:05:43.032727+07:00,2026-09-09 09:05:43,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,40.6
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,40.0
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.7
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.7
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.6
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-series,เสน่หาวาโย,1,45.9
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-series,ด้วงกับเธอ Duang With You Series,2,38.0
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-series,คุณแฟนบ้านนอก Hometown Romance,3,14.0
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-series,เขมจิราต้องรอด,4,1.4
2026-09-09T10:10:05.725082+07:00,2026-09-09 10:10:05,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,40.6
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,40.0
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.6
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.7
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.7
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-series,เสน่หาวาโย,1,45.9
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-series,ด้วงกับเธอ Duang With You Series,2,37.9
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-series,คุณแฟนบ้านนอก Hometown Romance,3,14.1
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-series,เขมจิราต้องรอด,4,1.4
2026-09-09T11:11:23.973053+07:00,2026-09-09 11:11:23,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-actress,ซอนญ่า ศรัณย์ภัทร์ พีเดอร์เซน,1,40.6
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-actress,เบคกี้ - รีเบคก้า แพทรีเซีย อาร์มสตรอง,2,40.0
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-actress,เมเบิ้ล - สิริวลี สิริวิบูลย์,3,9.6
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-actress,ฝ้าย - พีรญา มะลิซ้อน,4,5.7
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-actress,จินนี่ - ณัฐณิชา ประทีปนาฏศิริ,5,2.4
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-actress,หลิงหลิง - ศิริลักษณ์ คอง,6,1.7
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-series,เสน่หาวาโย,1,45.8
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-series,ด้วงกับเธอ Duang With You Series,2,37.9
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-series,คุณแฟนบ้านนอก Hometown Romance,3,14.2
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-series,เขมจิราต้องรอด,4,1.4
2026-09-09T12:10:52.636770+07:00,2026-09-09 12:10:52,best-series,สิงสาลาตาย Goddess bless you from death,5,0.7
